2012313340-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,VAN-SPILBERGENSTRAAT,WO,11/04/2012,10.00,WO,11/04/2012,11.30,2012,4,WO,06.00-11.59,DAMES,FIETS,GIANT,COSMO-RSZ,ZWART
2013141267-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,PASTOOR-ONDERWATERHOF,DO,11/04/2013,07.30,DO,11/04/2013,18.00,2013,4,DO,12.00-17.59,ATB,FIETS,GIANT,MOUNTAINBKE,BLAUW
2013143800-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,01-STRAND-EN-DUIN,BADWEG,DO,09/05/2013,14.45,DO,09/05/2013,16.45,2013,5,DO,12.00-17.59,DAMES,FIETS,CORTINA,U4,ZWART
2012301554-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,STATIONSWEG,ZO,18/03/2012,17.00,DI,20/03/2012,18.30,2012,3,MA,12.00-17.59,.,,.,,
2012280640-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,CORNELIS-STERRENBURGSTR,WO,14/03/2012,19.00,WO,14/03/2012,21.30,2012,3,WO,18.00-23.59,DAMES,FIETS,GIANT,PASSION-LDS-LOO,ONBEKEND
2012241634-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,DE-CORDESSTRAAT,ZO,05/02/2012,12.00,MA,06/02/2012,15.00,2012,2,MA,00.00-05.59,OPOE,FIETS,POINTER,GLORIE,ZWART
2011031895-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,RIETDIJKSTRAAT,ZA,29/01/2011,14.30,MA,31/01/2011,09.00,2011,1,ZO,06.00-11.59,DAMES,FIETS,BATAVUS,0,ONBEKEND
2011028042-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,STATIONSWEG,DO,27/01/2011,08.30,DO,27/01/2011,13.30,2011,1,DO,06.00-11.59,DAMES,FIETS,BATAVUS,WEEKEND,ONBEKEND
2011027403-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,01-STRAND-EN-DUIN,DOKTER-KNIPLAAN,DI,25/01/2011,19.45,DI,25/01/2011,20.15,2011,1,DI,18.00-23.59,HEREN,FIETS,GAZELLE,.,BRONSKLEURIG
2011027471-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,RIETDIJKHOF,WO,26/01/2011,08.30,WO,26/01/2011,11.00,2011,1,WO,06.00-11.59,DAMES,FIETS,GIANT,HYBRIDE,ZWART
2012279182-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,PRINS-HENDRIKSTRAAT,ZO,11/03/2012,01.10,ZO,11/03/2012,01.30,2012,3,ZO,00.00-05.59,HEREN,FIETS,RALEIGH,.,ZILVERKLEURIG
2012279187-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,PRINS-HENDRIKSTRAAT,ZO,11/03/2012,19.15,ZO,11/03/2012,20.30,2012,3,ZO,18.00-23.59,SPORT,FIETS,BATAVUS,JAKIMA-H-R21-M.,ONBEKEND
2012262946-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,PASTOOR-ONDERWATERHOF,MA,27/02/2012,08.00,MA,27/02/2012,18.30,2012,2,MA,12.00-17.59,DAMES,FIETS,GAZELLE,DAVOS,BLAUW
2011272359-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,PASTOOR-ONDERWATERHOF,ZA,10/09/2011,14.30,ZA,10/09/2011,23.00,2011,9,ZA,18.00-23.59,DAMES,FIETS,GAZELLE,JUST-FOR-FUN,BLAUW
2012258861-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,CHRISTIAAN-WEENIGSTRAAT,WO,22/02/2012,21.00,DO,23/02/2012,08.00,2012,2,DO,00.00-05.59,HEREN,FIETS,BATAVUS,MAMBO,ZWART
2012482100-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,DE-CORDESSTRAAT,DI,18/09/2012,09.00,WO,19/09/2012,17.30,2012,9,WO,00.00-05.59,DAMES,FIETS,BATAVUS,MAMBO-SPIR-DN7,BLAUW
2013032854-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,PRINS-HENDRIKSTRAAT,WO,30/01/2013,17.45,WO,30/01/2013,18.00,2013,1,WO,12.00-17.59,DAMES,FIETS,BATAVUS,0,GRIJS
2011099501-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,1E-SCHEEPVAARTSTRAAT,VR,18/03/2011,19.00,ZA,19/03/2011,01.15,2011,3,VR,18.00-23.59,HEREN,FIETS,GAZELLE,ORANGE-LIMETED,ZILVERKLEURIG
2013048683-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,HARMONIESTRAAT,MA,23/01/2012,17.00,DI,31/01/2012,12.15,2012,1,VR,12.00-17.59,ATB,FIETS,KOGA-MIYATA,HEARTBREAKER,ROZE
2012476894-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,STATIONSWEG,VR,14/09/2012,07.30,ZA,15/09/2012,11.00,2012,9,VR,18.00-23.59,DAMES,FIETS,RALEIGH,PRIORITY,WIT
2011149794-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,STATIONSWEG,ZA,14/05/2011,14.00,ZO,15/05/2011,01.30,2011,5,ZA,18.00-23.59,0,FIETS,HOLLANDIA,BEACHCRUISER,ZWART
2011147752-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,WILLEM-BARENTSSTRAAT,DO,12/05/2011,20.00,DO,12/05/2011,21.20,2011,5,DO,18.00-23.59,DAMES,FIETS,BATAVUS,STACCATO,MEERKLEURIG
2011149896-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,01-STRAND-EN-DUIN,RONDGANG,DI,10/05/2011,18.00,DI,17/05/2011,21.30,2011,5,ZA,06.00-11.59,HEREN,FIETS,GAZELLE,MEDEO-LIMITIT,ZILVERKLEURIG
